Date,Crash
2007-10-30,0
2007-11-06,0
2007-11-13,0
2007-11-20,0
2007-11-27,0
2007-12-04,0
2007-12-11,0
2007-12-18,0
2007-12-25,0
2008-01-01,0
2008-01-08,0
2008-01-15,0
2008-01-22,1
2008-01-29,1
2008-02-05,1
2008-02-12,1
2008-02-19,1
2008-02-26,0
2008-03-04,0
2008-03-11,1
2008-03-18,1
2008-03-25,0
2008-04-01,0
2008-04-08,0
2008-04-15,0
2008-04-22,0
2008-04-29,0
2008-05-06,0
2008-05-13,0
2008-05-20,0
2008-05-27,0
2008-06-03,0
2008-06-10,0
2008-06-17,0
2008-06-24,0
2008-07-01,0
2008-07-08,1
2008-07-15,1
2008-07-22,1
2008-07-29,1
2008-08-05,1
2008-08-12,1
2008-08-19,1
2008-08-26,1
2008-09-02,1
2008-09-09,1
2008-09-16,1
2008-09-23,1
2008-09-30,1
2008-10-07,1
2008-10-14,1
2008-10-21,1
2008-10-28,1
2008-11-04,1
2008-11-11,1
2008-11-18,1
2008-11-25,1
2008-12-02,1
2008-12-09,1
2008-12-16,1
2008-12-23,1
2008-12-30,1
2009-01-06,1
2009-01-13,1
2009-01-20,1
2009-01-27,1
2009-02-03,1
2009-02-10,1
2009-02-17,1
2009-02-24,1
2009-03-03,1
2009-03-10,1
2009-03-17,1
2009-03-24,0
2009-03-31,1
2009-04-07,0
2009-04-14,0
2009-04-21,0
2009-04-28,0
2009-05-05,0
2009-05-12,0
2009-05-19,0
2009-05-26,0
2009-06-02,0
2009-06-09,0
2009-06-16,0
2009-06-23,0
2009-06-30,0
2009-07-07,0
2009-07-14,0
2009-07-21,0
2009-07-28,0
2009-08-04,0
2009-08-11,0
2009-08-18,0
2009-08-25,0
2009-09-01,0
2009-09-08,0
2009-09-15,0
2009-09-22,0
2009-09-29,0
2009-10-06,0
2009-10-13,0
2009-10-20,0
2009-10-27,0
2009-11-03,0
2009-11-10,0
2009-11-17,0
2009-11-24,0
2009-12-01,0
2009-12-08,0
2009-12-15,0
2009-12-22,0
2009-12-29,0
